🔒 Row ID,Supplier Name,Supplier ID,Product Code,Item Name,Unit,Cost,CSV Row ID,Owner ID
WcAi8AYLQ0uTp7WF19jsCg,Cakesmiths,AjTs2rKDRt2drnhqSUkbng,8024,Cinnamon Classic,1 x 8,13.55,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
1HjnGUQQSqycvj1GoPm7UQ,Cakesmiths,AjTs2rKDRt2drnhqSUkbng,4065,Ultimate Carrot,1 x 18,25.95,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
PptlX9QKSBOihWfX35ZR4Q,Cakesmiths,AjTs2rKDRt2drnhqSUkbng,6047,Apricot & Pistachio Frangipane (Sliced),1 x 16,27.25,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
6kcUcE05TmCR7HLSp0OQig,Cakesmiths,AjTs2rKDRt2drnhqSUkbng,6051,Sticky Maple Pecan Pie - Sliced,1 x 16,27.95,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
BVMnK7t7TSiIWv6cAcoCdw,Corney & Barrow,a.3hkq3OGSyWf66d3VFCiPg,10006652023BT06,Il Barroccio Rosso DOC Nero d'Avola Sicilia 2023,6 x 75cl,6.46,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
VvqYd9iBSHeT9AbEtD-kSA,Corney & Barrow,a.3hkq3OGSyWf66d3VFCiPg,10074692023BT06,Il Barroccio IGT Bianco Veneto 2022,6 x 75cl,6.24,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
HCtrCguMRj-DrjMSCFLZ5Q,Corney & Barrow,a.3hkq3OGSyWf66d3VFCiPg,10037092023BT06,Pinot Grigio Rose Montevento 2023,6 x 75cl,6.59,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
Sd5KhFEdR5uu0VIaknCSng,Corney & Barrow,a.3hkq3OGSyWf66d3VFCiPg,100082800NVBT06,Prosecco Cecilia Beretta NV,6 x 75cl,7.84,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
QWZBhGQeRliUW1watzWnlw,Corney & Barrow,a.3hkq3OGSyWf66d3VFCiPg,10174132023BT06,Mucchietto Primitivo IGT Puglia 2023,6 x 75cl,9.21,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
iKRbe8Q9RRqdsTeTVQNglw,Corney & Barrow,a.3hkq3OGSyWf66d3VFCiPg,10057512023BT06,Mucchietto Fiano IGT Puglia 2022,6 x 75cl,7.78,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
sIKex1DHRHKWIV97ZRfykA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,45724,Croissants,50 x 90g,24.2,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
iqKNqd-rQIS-0UmanFqHqw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,40893,Vegan Raspberry Croissants,44 x 90g,27.05,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
PUhZm1jaQk6iUwTGSUf2.A,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,55396,Super Flapjack,1 x 12,17.63,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
Uc0qNu2ISSuUuhQohmArgw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,3272,Ice Cubes,6 x 2kg,5.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
92PlcSPMTnSeaDw0MkCvBw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,64651,Gluten Free Bread,1 x 6,29,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
os5SZxLQQFuDav17qqgSFA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,43265,Bagels,48 x 115g,15,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
S2UYARjjSliLCGCGpcxCPg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,7509,Vanilla Essence,500ml,3.37,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
95dxB-ZTTxK.YS3khQ3gIQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,2982,Almond Essence,500ml,2.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
SX5ggw7FTOW2Q-p73K4e9A,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,50478,Golden Syrup,680g,2.15,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
m1dfalfVRViGtCZI4MPp7A,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,54328,Release Spray,600ml,5.28,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
Oj5bSu9SQvGAz9WVzeVJow,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,9630,Ground Almonds,1kg,8.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
TNhUn7etRJuQAKiY3b.8uQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,8140,Dried Mixed Fruit,3kg,13.85,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
f2JvFHEfREqyWutQAbyxpw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,43785,Baking Powder,800g,3.34,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
Gi1mVrCPSbqUor.KNtCBKw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,42567,Cracked Black Pepper,425g,6.25,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
j7fPDvh7S8i9IBLSmoABrg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,15268,Strong White Bread Flour,16kg,15.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
JffvWwIiSKy3rg2uoFZeiA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,24464,Plain Flour,16kg,9.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
xhMXSraCR3iO4Qr3i2.wRw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,43484,Self-Raising Flour,16kg,12.29,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
6TR88r7WSD6SLNv.xBpuhg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,81885,Caster Sugar,25kg,34.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
LRyJJa7qTMCRNFcFcCJ47Q,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,54808,Icing Sugar,3kg,5.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
GShuZIPmRVK0liuXYEvSnw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,37068,Soft Brown Sugar,10 x 500g,10.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
7xQ.DdYkS1OkH.2ewq.oYA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,24720,Cocoa Powder,1kg,17.46,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
V5uovZSbSO-hYoXQMAL4Tw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,3802,Dark Chocolate Callets,2.5kg,44.92,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
qV12-c6QRkyiH84jlyyEMQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,1291,Milk Chocolate Callets,2.5kg,45.98,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
c8DFBtYxSkW9ncPwGVLr3A,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,3803,White Chocolate Callets,2.5kg,44.36,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
hYqOvuQaQZGmT74yyv8cgw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,83254,Table Salt,6kg,6.77,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
0qhy94iKSCu.zYHGekmopw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,73452,Marshmallows,4 x 500g,17,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
dzzf8au8RAakDhBKMxp2jQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,37774,Nutella,3kg,22.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
zbGRmfiFQyaNZeRySQVAgg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,71036,Demerara Sugar,3kg,6.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
HvUz.AktRyGrjDO.ZBGN8A,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,40082,Tahini,900g,8.66,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
wmAm32y8S1GI8ygC2aWGwA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,5395,Mini Jam Jars,72 x 28g,22.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
1LoHv5ovS5axorTlR.hYvg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,5397,Mini Marmalade Jars,72 x 28g,22.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
orAXWPniRxqQ5Q8-JZv3oA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,33130,Peanut Butter,2.5kg,17.98,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
jCNUCZqyR7iFTeII6vEvuQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,20924,Maldon Sea Salt,1.4kg,12.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
mVEqISTuQx-xV4y-o2vWKg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,6058,Philadelphia,1.65kg,17.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
3RsOT2e-SUq110oaMkUjZg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,56182,Chopped Garlic,1.2kg,7.69,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
8decu0LTQeOzH6kKmZOJSw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,3849,Chilli Flakes,300g,5.2,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
F1XLmpu-Rk-Sle1KCzro0Q,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,16327,Truffle Oil,250g,7.19,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
P18xKPBsR2-bRLZidnY.hg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,4597,Maple Syrup,620g,7.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
OJKhSrZWQLKKkT6pZ47TwA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,69342,Blueberry Compote,1.25kg,17.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
evtoovMqSf2hIvEloZMUNw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,6203,Heinz Beans,24 x 415g,33.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
mb7lFQQqQ6SKKSQ44LMaXg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,64399,Heinz Tomato Soup,24 x 400g,40.8,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
A-cRZiInQWmWG5h9o5JQpg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,34360,Emmental,1kg,6.77,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
aD-9-xFrTe28cx2zmGWHXA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,4596,Honey,680g,3.95,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
ym0lNeglTk2TuFyCIUShEw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,9417,Cinnamon,450g,6.25,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
LEVcAEYiThiYyUbqid3a9w,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,9945,Hellmans Mayo,5 Litre,26,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
a8UGHzjrSP-jieC15tmpoA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,15301,Extra Large Gherkins,2.1kg,5.43,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
SF12.nrJQA6Gi7F6TR.FjA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,82279,Chickpeas,6 x 2.55kg,23.22,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
fD6upUF7Sr21UZyB9X2DYw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,8064,White Vinegar,5 Litre,3.95,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
VRMsa7dyTwGC83NrfIfDxg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,7839,Heinz Ketchup,2 x 2.15 Litre,,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
u9ey5oQWQQ2WMfZdXolZng,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,9848,HP Sauce,2 Litre,10.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
EN3RBHVVRcWRoDqLZ98m2A,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,33416,Vegan Sweet Potato Falafel,3 x 30 x 22g,19.45,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
XXctYdqpQ4aOW1vnWTOeFQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,62728,IQF Burrata,12 x 125g,27.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
o15pi53CS.qlBay90tscLg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,27730,Premium Smoked Salmon Side,1kg,22.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
lyFopAVFTX-W9.1-g5Jy9A,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,59035,Cooked Turkey Sadle,3.63kg,37.95,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
9WmeQ91lSn2ynOOMYrZC1w,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,87465,Cooked pork Cocktail Sausages ,1kg,6.25,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
iINBW6FeSg-Kdbxpu3DhYw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,65409,Frozen Raspberries,1kg,8.4,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
trZ9H7pTSwuUMZgYfY5lyA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,5911,Curtis Sultanas,3kg,13.34,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
7JPiGyB4SgWXnvNPFa8--Q,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,30287,Granulated Sugar,5kg,8.54,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
Qjmsr8zzRwetiBVPFtYsNw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,34539,Granulated Sugar,10kg,17.09,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
Pv-OSSOZT8-ORF4unPF2mA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,45246,Poppys Kitchen Condensed Milk,12 x 397g,17.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
GjUhEKSRReOlrZeG8WdwLA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,43785,Chef William Baking Powder,800g,3.34,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
vNvZws6JSWmDMTxmqf1okQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,16566,Nestle Carnation Caramel,6 x 397g,17.7,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
EWGqcpPJSb2oQZRXoVYl9A,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,43798,Robertsons Mincemeat,2.72kg,11.8,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
cbgFZqqbTxOHYjsaSmuEBQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,28947,Robinson Powder Free Large Vinyl Gloves ,100,3.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
3KCFx7FDTOObs73iWiHSYQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,75745,La Espanola EV Olive Oil,5 ltr,39.8,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
1RU1BtnKQRiIU3DipdZNjQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,23160,Hartley Strawberry jam,3.18kg,9.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
ctU35XN0QZm-bkU8QMHsMA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,80140,Gales Lemon Curd,3.18kg,10.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
B0WGCDmrRHO6sA9jF29iDw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,6095,Chef William Sage & Onion Stuffing Mix,3kg,6.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
uc2tCE85RoGSd2KQ0AppmA,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,29118,Golden Palace Mango Churney,2.8kg,6.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
4hNxfv5ESe6wnjNzwKC2pQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,82046,McVities Tasties Digestive Biscuits ,12 x 300g,11.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
a-jw.8YXxSmGVyC-7-s2Dwg,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,5760,Middleton Crumble Mix,3.5kg,8.97,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
oVHw7ssuT2aRwChRREI4gw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,16608,Maldon Smoked Sea Salt,500g,10.49,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
7mYzS3L-SnuSOfS9sFb4Dw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,78177,Cambray Lilliput Mini Capers in brine,2.1kg,16.04,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
VM7OrPtgTD2f7uJBoiDycQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,35965,Sunrise Medium Eggs Lion Quality,15 Dozen,31.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
HoETb-4VQX2vnQgMn72RNQ,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,15073,J S Bailey Mature White Cheddar,5kg,32.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
3k89uFvDSLivuLB2-V9vnw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,6058,Kraft Philadelphia Original Soft Cheese,1.65kg,17.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
a.FDngKnERNKhk0qZer3lZw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,2897,Houghtons Hams Sliced 100% Gammon,500g,5.25,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
YnmvG43ORXi4FnokGGjBJw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,2902,Houghtons Hams Sliced 100% Turkey,500g,7.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
kwLf4UZ.RcGShHyjZ462jw,Holdsworth,JKGzpLFSRxCfAxNLKmy33A,34360,Extons Foods Emmental Slices,1kg,7.77,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
